start training greencrab
Start training for LSTM_PPO
Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Logging to /home/rstudio/logs/RecurrentPPO_6
---------------------------------
| rollout/           |          |
|    approx_kl            | 0.011532653 |
|    clip_fraction        | 0.0641      |
|    clip_range           | 0.2         |
|    entropy_loss         | 0.408       |
|    explained_variance   | -1.13       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0147     |
|    n_updates            | 33870       |
|    policy_gradient_loss | -0.0111     |
|    std                  | 0.352       |
|    value_loss           | 1.72e-08    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.000552   |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 3389        |
|    time_elapsed         | 42126       |
|    total_timesteps      | 433792      |
| train/                  |             |
|    approx_kl            | 0.009258038 |
|    clip_fraction        | 0.216       |
|    clip_range           | 0.2         |
|    entropy_loss         | 0.413       |
|    explained_variance   | -0.838      |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00649     |
|    n_updates            | 33880       |
|    policy_gradient_loss | 0.00215     |
|    std                  | 0.351       |
|    value_loss           | 1.67e-08    |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 101       |
|    ep_rew_mean          | -0.000549 |
| time/                   |           |
|    fps                  | 10        |
|    iterations           | 3390      |
|    time_elapsed         | 42136     |
|    total_timesteps      | 433920    |
| train/                  |           |
|    approx_kl            | 0.0680364 |
|    clip_fraction        | 0.298     |
|    clip_range           | 0.2       |
|    entropy_loss         | 0.415     |
|    explained_variance   | -0.775    |
|    learning_rate        | 0.0003    |
|    loss                 | -0.0127   |
|    n_updates            | 33890     |
|    policy_gradient_loss | -0.00765  |
|    std                  | 0.351     |
|    value_loss           | 1.68e-08  |
---------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.000548   |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 3391        |
|    time_elapsed         | 42150       |
|    total_timesteps      | 434048      |
| train/                  |             |
|    approx_kl            | 0.032330226 |
|    clip_fraction        | 0.248       |
|    clip_range           | 0.2         |
|    entropy_loss         | 0.418       |
|    explained_variance   | -1.37       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00778    |
|    n_updates            | 33900       |
|    policy_gradient_loss | -0.00351    |
|    std                  | 0.351       |
|    value_loss           | 3.25e-08    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.000547   |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 3392        |
|    time_elapsed         | 42158       |
|    total_timesteps      | 434176      |
| train/                  |             |
|    approx_kl            | 0.024384402 |
|    clip_fraction        | 0.262       |
|    clip_range           | 0.2         |
|    entropy_loss         | 0.42        |
|    explained_variance   | -1.08       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0286     |
|    n_updates            | 33910       |
|    policy_gradient_loss | -0.0222     |
|    std                  | 0.351       |
|    value_loss           | 1.66e-08    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.000545   |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 3393        |
|    time_elapsed         | 42168       |
|    total_timesteps      | 434304      |
| train/                  |             |
|    approx_kl            | 0.024613164 |
|    clip_fraction        | 0.238       |
|    clip_range           | 0.2         |
|    entropy_loss         | 0.42        |
|    explained_variance   | -0.979      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0146     |
|    n_updates            | 33920       |
|    policy_gradient_loss | -0.00909    |
|    std                  | 0.351       |
|    value_loss           | 1.67e-08    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.000544   |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 3394        |
|    time_elapsed         | 42184       |
|    total_timesteps      | 434432      |
| train/                  |             |
|    approx_kl            | 0.009629169 |
|    clip_fraction        | 0.45        |
|    clip_range           | 0.2         |
|    entropy_loss         | 0.421       |
|    explained_variance   | -1.66       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0188     |
|    n_updates            | 33930       |
|    policy_gradient_loss | -0.00941    |
|    std                  | 0.351       |
|    value_loss           | 2.99e-08    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.000543   |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 3395        |
|    time_elapsed         | 42195       |
|    total_timesteps      | 434560      |
| train/                  |             |
|    approx_kl            | 0.035681237 |
|    clip_fraction        | 0.227       |
|    clip_range           | 0.2         |
|    entropy_loss         | 0.42        |
|    explained_variance   | -0.427      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0102     |
|    n_updates            | 33940       |
|    policy_gradient_loss | -0.0086     |
|    std                  | 0.351       |
|    value_loss           | 2.42e-08    |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 101       |
|    ep_rew_mean          | -0.000543 |
| time/                   |           |
|    fps                  | 10        |
|    iterations           | 3396      |
|    time_elapsed         | 42206     |
|    total_timesteps      | 434688    |
| train/                  |           |
|    approx_kl            | 0.0589267 |
|    clip_fraction        | 0.301     |
|    clip_range           | 0.2       |
|    entropy_loss         | 0.417     |
|    explained_variance   | -0.413    |
|    learning_rate        | 0.0003    |
|    loss                 | -0.0185   |
|    n_updates            | 33950     |
|    policy_gradient_loss | -0.0162   |
|    std                  | 0.352     |
|    value_loss           | 3.42e-08  |
---------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -0.00054     |
| time/                   |              |
|    fps                  | 10           |
|    iterations           | 3397         |
|    time_elapsed         | 42217        |
|    total_timesteps      | 434816       |
| train/                  |              |
|    approx_kl            | 0.0036035907 |
|    clip_fraction        | 0.226        |
|    clip_range           | 0.2          |
|    entropy_loss         | 0.414        |
|    explained_variance   | 0.058        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0017      |
|    n_updates            | 33960        |
|    policy_gradient_loss | -0.0139      |
|    std                  | 0.352        |
|    value_loss           | 1.2e-07      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -0.000539    |
| time/                   |              |
|    fps                  | 10           |
|    iterations           | 3398         |
|    time_elapsed         | 42230        |
|    total_timesteps      | 434944       |
| train/                  |              |
|    approx_kl            | 0.0021010288 |
|    clip_fraction        | 0.109        |
|    clip_range           | 0.2          |
|    entropy_loss         | 0.412        |
|    explained_variance   | -1.71        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.00419     |
|    n_updates            | 33970        |
|    policy_gradient_loss | 0.000866     |
|    std                  | 0.352        |
|    value_loss           | 1.39e-07     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.000538   |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 3399        |
|    time_elapsed         | 42241       |
|    total_timesteps      | 435072      |
| train/                  |             |
|    approx_kl            | 0.026704788 |
|    clip_fraction        | 0.229       |
|    clip_range           | 0.2         |
|    entropy_loss         | 0.409       |
|    explained_variance   | -0.173      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0048     |
|    n_updates            | 33980       |
|    policy_gradient_loss | -0.00537    |
|    std                  | 0.352       |
|    value_loss           | 3.08e-08    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.000537   |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 3400        |
|    time_elapsed         | 42252       |
|    total_timesteps      | 435200      |
| train/                  |             |
|    approx_kl            | 0.011333533 |
|    clip_fraction        | 0.0477      |
|    clip_range           | 0.2         |
|    entropy_loss         | 0.408       |
|    explained_variance   | -1          |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0159     |
|    n_updates            | 33990       |
|    policy_gradient_loss | -0.0127     |
|    std                  | 0.352       |
|    value_loss           | 1.55e-08    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.000536   |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 3401        |
|    time_elapsed         | 42265       |
|    total_timesteps      | 435328      |
| train/                  |             |
|    approx_kl            | 0.035944395 |
|    clip_fraction        | 0.177       |
|    clip_range           | 0.2         |
|    entropy_loss         | 0.406       |
|    explained_variance   | -0.835      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0044     |
|    n_updates            | 34000       |
|    policy_gradient_loss | -0.00679    |
|    std                  | 0.353       |
|    value_loss           | 1.56e-08    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.000535   |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 3402        |
|    time_elapsed         | 42280       |
|    total_timesteps      | 435456      |
| train/                  |             |
|    approx_kl            | 0.027827293 |
|    clip_fraction        | 0.191       |
|    clip_range           | 0.2         |
|    entropy_loss         | 0.4         |
|    explained_variance   | -1.3        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.011      |
|    n_updates            | 34010       |
|    policy_gradient_loss | -0.00854    |
|    std                  | 0.353       |
|    value_loss           | 2.94e-08    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.000534   |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 3403        |
|    time_elapsed         | 42291       |
|    total_timesteps      | 435584      |
| train/                  |             |
|    approx_kl            | 0.057237104 |
|    clip_fraction        | 0.188       |
|    clip_range           | 0.2         |
|    entropy_loss         | 0.398       |
|    explained_variance   | -1.29       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00174    |
|    n_updates            | 34020       |
|    policy_gradient_loss | -0.00622    |
|    std                  | 0.353       |
|    value_loss           | 1.53e-08    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 101        |
|    ep_rew_mean          | -0.000533  |
| time/                   |            |
|    fps                  | 10         |
|    iterations           | 3404       |
|    time_elapsed         | 42300      |
|    total_timesteps      | 435712     |
| train/                  |            |
|    approx_kl            | 0.01401856 |
|    clip_fraction        | 0.287      |
|    clip_range           | 0.2        |
|    entropy_loss         | 0.397      |
|    explained_variance   | -0.982     |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0166    |
|    n_updates            | 34030      |
|    policy_gradient_loss | -0.0125    |
|    std                  | 0.353      |
|    value_loss           | 1.48e-08   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.000532   |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 3405        |
|    time_elapsed         | 42311       |
|    total_timesteps      | 435840      |
| train/                  |             |
|    approx_kl            | 0.009927147 |
|    clip_fraction        | 0.276       |
|    clip_range           | 0.2         |
|    entropy_loss         | 0.397       |
|    explained_variance   | -0.881      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0123     |
|    n_updates            | 34040       |
|    policy_gradient_loss | -0.00986    |
|    std                  | 0.352       |
|    value_loss           | 1.51e-08    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -0.000532    |
| time/                   |              |
|    fps                  | 10           |
|    iterations           | 3406         |
|    time_elapsed         | 42328        |
|    total_timesteps      | 435968       |
| train/                  |              |
|    approx_kl            | 0.0071698283 |
|    clip_fraction        | 0.121        |
|    clip_range           | 0.2          |
|    entropy_loss         | 0.397        |
|    explained_variance   | -1.63        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0193      |
|    n_updates            | 34050        |
|    policy_gradient_loss | -0.00767     |
|    std                  | 0.352        |
|    value_loss           | 2.91e-08     |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 101        |
|    ep_rew_mean          | -0.000532  |
| time/                   |            |
|    fps                  | 10         |
|    iterations           | 3407       |
|    time_elapsed         | 42338      |
|    total_timesteps      | 436096     |
| train/                  |            |
|    approx_kl            | 0.05936928 |
|    clip_fraction        | 0.349      |
|    clip_range           | 0.2        |
|    entropy_loss         | 0.397      |
|    explained_variance   | -0.887     |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0136    |
|    n_updates            | 34060      |
|    policy_gradient_loss | -0.00879   |
|    std                  | 0.353      |
|    value_loss           | 1.47e-08   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.000532   |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 3408        |
|    time_elapsed         | 42348       |
|    total_timesteps      | 436224      |
| train/                  |             |
|    approx_kl            | 0.011302279 |
|    clip_fraction        | 0.269       |
|    clip_range           | 0.2         |
|    entropy_loss         | 0.396       |
|    explained_variance   | -0.83       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0242     |
|    n_updates            | 34070       |
|    policy_gradient_loss | -0.0109     |
|    std                  | 0.353       |
|    value_loss           | 1.48e-08    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.000531   |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 3409        |
|    time_elapsed         | 42362       |
|    total_timesteps      | 436352      |
| train/                  |             |
|    approx_kl            | 0.035035737 |
|    clip_fraction        | 0.289       |
|    clip_range           | 0.2         |
|    entropy_loss         | 0.397       |
|    explained_variance   | -1.03       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0179     |
|    n_updates            | 34080       |
|    policy_gradient_loss | -0.00838    |
|    std                  | 0.353       |
|    value_loss           | 2.81e-08    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.000531   |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 3410        |
|    time_elapsed         | 42372       |
|    total_timesteps      | 436480      |
| train/                  |             |
|    approx_kl            | 0.010987007 |
|    clip_fraction        | 0.152       |
|    clip_range           | 0.2         |
|    entropy_loss         | 0.397       |
|    explained_variance   | -0.716      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0137     |
|    n_updates            | 34090       |
|    policy_gradient_loss | -0.00878    |
|    std                  | 0.353       |
|    value_loss           | 1.66e-08    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -0.000531    |
| time/                   |              |
|    fps                  | 10           |
|    iterations           | 3411         |
|    time_elapsed         | 42382        |
|    total_timesteps      | 436608       |
| train/                  |              |
|    approx_kl            | 0.0031850967 |
|    clip_fraction        | 0.147        |
|    clip_range           | 0.2          |
|    entropy_loss         | 0.398        |
|    explained_variance   | -1.05        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0152      |
|    n_updates            | 34100        |
|    policy_gradient_loss | -0.0118      |
|    std                  | 0.353        |
|    value_loss           | 1.46e-08     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.000531   |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 3412        |
|    time_elapsed         | 42393       |
|    total_timesteps      | 436736      |
| train/                  |             |
|    approx_kl            | 0.028392743 |
|    clip_fraction        | 0.4         |
|    clip_range           | 0.2         |
|    entropy_loss         | 0.4         |
|    explained_variance   | -0.691      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0178     |
|    n_updates            | 34110       |
|    policy_gradient_loss | -0.0116     |
|    std                  | 0.353       |
|    value_loss           | 1.44e-08    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 101        |
|    ep_rew_mean          | -0.000532  |
| time/                   |            |
|    fps                  | 10         |
|    iterations           | 3413       |
|    time_elapsed         | 42408      |
|    total_timesteps      | 436864     |
| train/                  |            |
|    approx_kl            | 0.01896869 |
|    clip_fraction        | 0.124      |
|    clip_range           | 0.2        |
|    entropy_loss         | 0.403      |
|    explained_variance   | -0.742     |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0195    |
|    n_updates            | 34120      |
|    policy_gradient_loss | -0.0113    |
|    std                  | 0.352      |
|    value_loss           | 2.73e-08   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.000532   |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 3414        |
|    time_elapsed         | 42420       |
|    total_timesteps      | 436992      |
| train/                  |             |
|    approx_kl            | 0.013465402 |
|    clip_fraction        | 0.294       |
|    clip_range           | 0.2         |
|    entropy_loss         | 0.406       |
|    explained_variance   | -0.761      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00664    |
|    n_updates            | 34130       |
|    policy_gradient_loss | -0.00724    |
|    std                  | 0.352       |
|    value_loss           | 1.49e-08    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.000531   |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 3415        |
|    time_elapsed         | 42431       |
|    total_timesteps      | 437120      |
| train/                  |             |
|    approx_kl            | 0.026362617 |
|    clip_fraction        | 0.258       |
|    clip_range           | 0.2         |
|    entropy_loss         | 0.407       |
|    explained_variance   | -1.18       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0332     |
|    n_updates            | 34140       |
|    policy_gradient_loss | -0.019      |
|    std                  | 0.352       |
|    value_loss           | 1.43e-08    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 101        |
|    ep_rew_mean          | -0.000532  |
| time/                   |            |
|    fps                  | 10         |
|    iterations           | 3416       |
|    time_elapsed         | 42443      |
|    total_timesteps      | 437248     |
| train/                  |            |
|    approx_kl            | 0.07301538 |
|    clip_fraction        | 0.319      |
|    clip_range           | 0.2        |
|    entropy_loss         | 0.408      |
|    explained_variance   | -0.735     |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0224    |
|    n_updates            | 34150      |
|    policy_gradient_loss | -0.0201    |
|    std                  | 0.352      |
|    value_loss           | 1.43e-08   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.000532   |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 3417        |
|    time_elapsed         | 42458       |
|    total_timesteps      | 437376      |
| train/                  |             |
|    approx_kl            | 0.041533772 |
|    clip_fraction        | 0.276       |
|    clip_range           | 0.2         |
|    entropy_loss         | 0.409       |
|    explained_variance   | -1.1        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.012      |
|    n_updates            | 34160       |
|    policy_gradient_loss | -0.0125     |
|    std                  | 0.352       |
|    value_loss           | 2.7e-08     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.000531   |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 3418        |
|    time_elapsed         | 42469       |
|    total_timesteps      | 437504      |
| train/                  |             |
|    approx_kl            | 0.025303192 |
|    clip_fraction        | 0.289       |
|    clip_range           | 0.2         |
|    entropy_loss         | 0.41        |
|    explained_variance   | -1.19       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0117     |
|    n_updates            | 34170       |
|    policy_gradient_loss | -0.00225    |
|    std                  | 0.352       |
|    value_loss           | 1.45e-08    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.000531   |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 3419        |
|    time_elapsed         | 42481       |
|    total_timesteps      | 437632      |
| train/                  |             |
|    approx_kl            | 0.026012808 |
|    clip_fraction        | 0.295       |
|    clip_range           | 0.2         |
|    entropy_loss         | 0.409       |
|    explained_variance   | -0.978      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0174     |
|    n_updates            | 34180       |
|    policy_gradient_loss | -0.00888    |
|    std                  | 0.352       |
|    value_loss           | 1.4e-08     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.000532   |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 3420        |
|    time_elapsed         | 42492       |
|    total_timesteps      | 437760      |
| train/                  |             |
|    approx_kl            | 0.010987615 |
|    clip_fraction        | 0.404       |
|    clip_range           | 0.2         |
|    entropy_loss         | 0.405       |
|    explained_variance   | -0.759      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00545    |
|    n_updates            | 34190       |
|    policy_gradient_loss | -0.0121     |
|    std                  | 0.352       |
|    value_loss           | 1.42e-08    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 101        |
|    ep_rew_mean          | -0.000531  |
| time/                   |            |
|    fps                  | 10         |
|    iterations           | 3421       |
|    time_elapsed         | 42506      |
|    total_timesteps      | 437888     |
| train/                  |            |
|    approx_kl            | 0.04376685 |
|    clip_fraction        | 0.274      |
|    clip_range           | 0.2        |
|    entropy_loss         | 0.402      |
|    explained_variance   | -1.94      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.00197    |
|    n_updates            | 34200      |
|    policy_gradient_loss | -0.00612   |
|    std                  | 0.352      |
|    value_loss           | 2.75e-08   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.000531   |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 3422        |
|    time_elapsed         | 42516       |
|    total_timesteps      | 438016      |
| train/                  |             |
|    approx_kl            | 0.042019505 |
|    clip_fraction        | 0.245       |
|    clip_range           | 0.2         |
|    entropy_loss         | 0.396       |
|    explained_variance   | -1.04       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0106     |
|    n_updates            | 34210       |
|    policy_gradient_loss | -0.00879    |
|    std                  | 0.353       |
|    value_loss           | 1.39e-08    |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 101       |
|    ep_rew_mean          | -0.000531 |
| time/                   |           |
|    fps                  | 10        |
|    iterations           | 3423      |
|    time_elapsed         | 42525     |
|    total_timesteps      | 438144    |
| train/                  |           |
|    approx_kl            | 0.0289956 |
|    clip_fraction        | 0.268     |
|    clip_range           | 0.2       |
|    entropy_loss         | 0.389     |
|    explained_variance   | -0.78     |
|    learning_rate        | 0.0003    |
|    loss                 | -0.0148   |
|    n_updates            | 34220     |
|    policy_gradient_loss | -0.0093   |
|    std                  | 0.354     |
|    value_loss           | 1.38e-08  |
---------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.000531   |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 3424        |
|    time_elapsed         | 42540       |
|    total_timesteps      | 438272      |
| train/                  |             |
|    approx_kl            | 0.019051779 |
|    clip_fraction        | 0.254       |
|    clip_range           | 0.2         |
|    entropy_loss         | 0.385       |
|    explained_variance   | -0.791      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0349     |
|    n_updates            | 34230       |
|    policy_gradient_loss | -0.0201     |
|    std                  | 0.354       |
|    value_loss           | 2.72e-08    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.00053    |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 3425        |
|    time_elapsed         | 42552       |
|    total_timesteps      | 438400      |
| train/                  |             |
|    approx_kl            | 0.037571225 |
|    clip_fraction        | 0.196       |
|    clip_range           | 0.2         |
|    entropy_loss         | 0.385       |
|    explained_variance   | -0.668      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0164     |
|    n_updates            | 34240       |
|    policy_gradient_loss | -0.0128     |
|    std                  | 0.354       |
|    value_loss           | 1.62e-08    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.00053    |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 3426        |
|    time_elapsed         | 42565       |
|    total_timesteps      | 438528      |
| train/                  |             |
|    approx_kl            | 0.013972549 |
|    clip_fraction        | 0.205       |
|    clip_range           | 0.2         |
|    entropy_loss         | 0.386       |
|    explained_variance   | -0.77       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0187     |
|    n_updates            | 34250       |
|    policy_gradient_loss | -0.012      |
|    std                  | 0.354       |
|    value_loss           | 1.37e-08    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.000529   |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 3427        |
|    time_elapsed         | 42576       |
|    total_timesteps      | 438656      |
| train/                  |             |
|    approx_kl            | 0.014747403 |
|    clip_fraction        | 0.159       |
|    clip_range           | 0.2         |
|    entropy_loss         | 0.386       |
|    explained_variance   | -0.713      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0154     |
|    n_updates            | 34260       |
|    policy_gradient_loss | -0.0106     |
|    std                  | 0.354       |
|    value_loss           | 1.37e-08    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 101        |
|    ep_rew_mean          | -0.000529  |
| time/                   |            |
|    fps                  | 10         |
|    iterations           | 3428       |
|    time_elapsed         | 42593      |
|    total_timesteps      | 438784     |
| train/                  |            |
|    approx_kl            | 0.04473081 |
|    clip_fraction        | 0.162      |
|    clip_range           | 0.2        |
|    entropy_loss         | 0.383      |
|    explained_variance   | -0.467     |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0184    |
|    n_updates            | 34270      |
|    policy_gradient_loss | -0.0105    |
|    std                  | 0.355      |
|    value_loss           | 2.51e-08   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.000529   |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 3429        |
|    time_elapsed         | 42604       |
|    total_timesteps      | 438912      |
| train/                  |             |
|    approx_kl            | 0.005607357 |
|    clip_fraction        | 0.202       |
|    clip_range           | 0.2         |
|    entropy_loss         | 0.382       |
|    explained_variance   | -0.576      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0106     |
|    n_updates            | 34280       |
|    policy_gradient_loss | -0.00954    |
|    std                  | 0.355       |
|    value_loss           | 1.37e-08    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -0.000529    |
| time/                   |              |
|    fps                  | 10           |
|    iterations           | 3430         |
|    time_elapsed         | 42612        |
|    total_timesteps      | 439040       |
| train/                  |              |
|    approx_kl            | 0.0031468528 |
|    clip_fraction        | 0.22         |
|    clip_range           | 0.2          |
|    entropy_loss         | 0.38         |
|    explained_variance   | -0.778       |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0108      |
|    n_updates            | 34290        |
|    policy_gradient_loss | -0.0035      |
|    std                  | 0.355        |
|    value_loss           | 1.34e-08     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.000529   |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 3431        |
|    time_elapsed         | 42622       |
|    total_timesteps      | 439168      |
| train/                  |             |
|    approx_kl            | 0.020343708 |
|    clip_fraction        | 0.266       |
|    clip_range           | 0.2         |
|    entropy_loss         | 0.379       |
|    explained_variance   | -0.628      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0283     |
|    n_updates            | 34300       |
|    policy_gradient_loss | -0.0146     |
|    std                  | 0.355       |
|    value_loss           | 1.34e-08    |
-----------------------------------------
-----------------------------------------
